	logFC	AveExpr	t	P.Value	adj.P.Val	B
HHIPL1	-1.4755384947	1.0903895455	-3.9179302781	0.000106013	0.0005673664	0.7462849579
GIMAP7	-1.2397287387	1.6297113188	-3.9177543292	0.0001060873	0.0005675468	0.6036827149
SLC7A2	-1.6048296396	2.6520326639	-3.917561574	0.0001061688	0.0005675479	0.3966606363
RP11-22C11.2	2.4829938584	0.4478182008	3.9109187214	0.0001090142	0.0005812009	0.9759942179
MTCP1	1.1185623444	0.4950095011	3.9092214844	0.0001097527	0.0005844687	0.915321263
AXIN2	-1.5198000505	1.5843986161	-3.9084784101	0.0001100775	0.000585858	0.5599236751
RP11-783K16.13	1.0165625045	0.4156263927	3.9062325296	0.0001110648	0.0005902881	0.9197561482
RP11-192H23.4	1.3720706438	0.5335751668	3.9048952562	0.0001116566	0.0005923484	0.9146406657
PCP4L1	-2.1768263706	1.9728184657	-3.9030931839	0.0001124588	0.0005963778	0.286867237
KLHL17	1.2384941389	2.9835918913	3.9011080888	0.0001133489	0.000600186	0.6355880991
SPSB2	1.0306430288	3.0214417197	3.900297687	0.0001137142	0.0006018919	0.5999746323
SLC25A10	1.4117047907	4.060902148	3.8996408694	0.000114011	0.0006032345	0.4937148114
GMNN	1.0735481295	4.545394913	3.8978332848	0.0001148318	0.0006073471	0.367212775
RTKN2	2.1039192947	2.5228188631	3.8944166468	0.0001163985	0.0006142374	0.7906645856
KIRREL	-1.3555859879	3.7564856229	-3.8940045213	0.0001165888	0.0006150095	0.2283873879
PARP12	1.1171192688	5.1446544966	3.8908644884	0.0001180488	0.0006220058	0.2503177343
CST1	4.9407023882	0.5540893425	3.8890165854	0.000118916	0.0006258668	0.8983414509
TYMSOS	1.5467753279	0.0735942896	3.8847144818	0.0001209585	0.00063518	0.8822820611
PRRX1	-2.0651100118	2.9565615868	-3.8844907538	0.0001210656	0.0006355035	0.323398187
COL15A1	-1.5296945797	4.935833439	-3.8836854754	0.0001214519	0.0006370524	0.1187484532
ATAT1	1.0766612214	3.6250902368	3.8829256528	0.0001218175	0.00063873	0.4304171095
CAMK4	-1.3984659214	0.431832495	-3.8804533689	0.0001230142	0.0006442789	0.645930693
KIF20B	1.2426763467	3.3246898517	3.8775387699	0.0001244393	0.0006507664	0.5250878503
GIMAP6	-1.1124752489	2.4036315994	-3.8772568385	0.000124578	0.0006512477	0.3298357208
SEPT6	-1.0599951321	3.9331603489	-3.8723011386	0.0001270396	0.0006618859	0.1433227421
C5orf34	1.0321431074	1.4893678917	3.8695347666	0.0001284337	0.0006679031	0.6921077494
UNC93B1	1.0125771592	5.6216848856	3.8642806495	0.0001311214	0.000680107	0.0802237057
USP43	1.695552497	2.4915098548	3.8524237175	0.0001373835	0.0007094252	0.6107336146
GADD45G	-1.1569177269	1.6133598217	-3.8483967417	0.0001395739	0.0007191973	0.3633002586
ARG2	-1.1054635188	2.0516390829	-3.846600291	0.0001405617	0.0007234288	0.2149692592
HS3ST3B1	-1.7926966843	0.171029496	-3.8461053923	0.0001408349	0.0007245682	0.5673370906
EPCAM	2.5169455588	5.8982584734	3.8446843032	0.0001416224	0.0007280832	0.2249157786
RRAS	-1.1867388054	4.6029062234	-3.8444887509	0.0001417311	0.0007283738	-0.023913641
ENGASE	1.231194931	5.0085187769	3.8433269461	0.0001423785	0.0007311625	0.0748111999
BBC3	1.1578081404	3.3112931019	3.8428374411	0.0001426521	0.0007322982	0.3767927304
IL22RA1	2.4918165892	1.3264838027	3.8368728426	0.000146026	0.0007476939	0.6866201037
ZNF296	1.5764757907	2.1480226712	3.8317048964	0.0001490102	0.0007607419	0.5111858849
HILPDA	1.7706524522	4.5166599831	3.8308811768	0.0001494911	0.0007626396	0.2253494678
PRKD1	-1.2887988089	1.9184439354	-3.8302338808	0.0001498701	0.0007640146	0.2246527827
RP11-521B24.4	1.3638785212	1.1620685278	3.8266391254	0.0001519912	0.0007736979	0.6086768634
FAM83H-AS1	2.5437695028	4.7246901405	3.8256476842	0.0001525812	0.0007761353	0.3109594141
PLCB1	-1.0000555608	3.4833081967	-3.8225826309	0.0001544189	0.0007843401	-0.0169596956
PHLDB2	-1.3256162346	4.5269691828	-3.8201113428	0.0001559158	0.0007905054	-0.1135279426
HOOK1	2.1010786801	3.4344037765	3.819423501	0.0001563348	0.0007920549	0.4042452104
LLGL2	1.4295272738	5.9691012653	3.8184469662	0.0001569316	0.00079479	-0.078515978
RASGEF1B	-1.2576519213	1.5973119568	-3.8182877258	0.0001570291	0.0007949956	0.2542832566
SAMHD1	-1.2385405303	5.5627660058	-3.8173342501	0.0001576142	0.0007976686	-0.1386796545
SDF2L1	1.069853593	4.1915221828	3.8124006313	0.0001606748	0.0008119808	0.1186231097
GBAP1	1.0079351176	1.0071558636	3.8122812907	0.0001607496	0.0008120645	0.5225546115
WDFY4	-1.6572588175	1.0713096274	-3.8115296196	0.000161221	0.000813857	0.2926633102
KLC3	3.2289997782	1.6852603418	3.8098793727	0.0001622605	0.0008188087	0.603059584
SLA	-1.6017415922	2.3920474321	-3.8096041194	0.0001624345	0.0008193906	0.1057914034
PCDHGA6	-1.0291686975	0.004466179	-3.8082791709	0.0001632746	0.0008224397	0.4503129606
AOAH	-1.8109220207	0.781812619	-3.8077879372	0.0001635871	0.0008237167	0.3245447375
HIST1H2AG	1.9408486518	0.2519758681	3.8075101989	0.000163764	0.0008243103	0.6086411635
MAP7D3	-1.2346637393	2.3544706189	-3.8073998138	0.0001638344	0.0008243674	0.1269477962
PARVB	-1.3404928219	3.4063432739	-3.807185183	0.0001639713	0.000824759	-0.043757293
APCDD1	-1.3598046111	4.1051254938	-3.8066853641	0.0001642905	0.0008260672	-0.1619835546
PRR16	-1.4961500838	0.0367532752	-3.8064585834	0.0001644356	0.0008262405	0.4568951525
VWA5A	-1.3222283737	3.554591713	-3.8038739515	0.0001660972	0.0008330515	-0.128216199
IKBKE	1.0393259915	3.8593771007	3.7960897538	0.0001711979	0.000855867	0.0829957958
TEN1-CDK3	1.2742817918	0.3105434711	3.7956824505	0.0001714688	0.0008569146	0.5275151682
GIPC2	-1.8043237645	0.7535857213	-3.7946199856	0.0001721775	0.0008601481	0.2523318025
OAS3	1.3041714107	6.0892723758	3.7936589576	0.0001728208	0.0008627447	-0.1941949475
CFH	-1.6435409072	4.9784145487	-3.7900527467	0.0001752552	0.0008742725	-0.2354151033
ZNF671	-1.1852521516	0.5922300911	-3.7881601424	0.0001765458	0.0008803959	0.2740834841
SERPING1	-1.804290565	6.5425431146	-3.7868629809	0.0001774355	0.0008838856	-0.2182267255
ALDH1A3	-1.6111317248	3.5248407888	-3.786531165	0.0001776637	0.0008842454	-0.1734826864
FAM19A5	-1.7485824331	0.3454138974	-3.7860425305	0.0001780004	0.0008852351	0.3442306948
MEX3A	2.9487868518	3.9550744528	3.7849770559	0.0001787365	0.0008884358	0.3037642806
SELENBP1	-1.6223010141	3.8746497809	-3.7836270282	0.0001796734	0.0008924866	-0.2464209823
EIF4EBP3	-1.1618675574	0.3557041694	-3.7805378024	0.0001818347	0.0009016187	0.3001589267
EFHD1	-1.6398306909	1.2393813976	-3.7795710709	0.0001825161	0.0009043999	0.1778342544
NNMT	-2.160733435	4.6518786787	-3.7775160124	0.0001839726	0.000909635	-0.2576773086
NT5DC2	1.0182836985	5.9413002269	3.7771669399	0.0001842211	0.0009105412	-0.2532802818
EGFL7	-1.1178458692	3.8334690792	-3.7758327016	0.0001851738	0.0009142792	-0.2060536399
CERK	-1.1502664775	3.6486637678	-3.773829226	0.0001866131	0.0009210598	-0.2130195787
TMEM74B	2.3568045445	1.3461940486	3.7731975659	0.000187069	0.0009229841	0.4572361534
GIMAP4	-1.1527926678	2.9787386152	-3.7653368327	0.000192832	0.000948402	-0.143147363
RP1-228H13.5	1.152353039	1.012988209	3.7644834982	0.0001934676	0.0009508582	0.3759697618
EVPL	1.9568851669	6.9635460647	3.7642631227	0.0001936321	0.000950997	-0.3153630414
MAPK15	2.7539815283	1.5162901608	3.7594466014	0.0001972597	0.0009664341	0.4097142073
RAB7B	-1.4114272313	2.138522189	-3.7516118462	0.0002032978	0.0009932246	-0.1186351921
ZNF600	1.1598033514	3.7035930405	3.7467659118	0.0002071193	0.0010069663	-0.0604857734
ZNF93	1.5610659379	2.2713255091	3.7458597295	0.0002078414	0.0010097738	0.1916650464
CRYBG3	-1.2465516913	2.6009744951	-3.7456245292	0.0002080292	0.0010099834	-0.1900982412
GAB3	-1.2254339191	0.3660621225	-3.7449771291	0.000208547	0.0010121452	0.1784282321
TNC	-2.2323910091	5.1050122623	-3.7442530796	0.0002091275	0.0010141867	-0.3935601306
MT1E	-1.9297734634	2.8863565825	-3.7441808218	0.0002091855	0.0010141867	-0.2324023578
APOBEC3A	-2.0445362741	0.2078138703	-3.7438008506	0.0002094909	0.0010153145	0.1090676109
C1QTNF3	-1.2746503171	1.473024405	-3.741121685	0.0002116558	0.0010247397	-0.0068332703
SPON2	-1.5253843323	4.4700775184	-3.7405027522	0.0002121589	0.0010268195	-0.3755983923
WNT3	1.8654589338	1.1183841684	3.740396701	0.0002122452	0.0010268813	0.3377014849
FBXO6	1.0187191565	3.7501589315	3.7400200363	0.000212552	0.0010276538	-0.1059417196
HSPA4L	-1.4252257544	2.3853114964	-3.7381604246	0.0002140731	0.0010346496	-0.1941036504
SLCO2A1	-1.2771133181	3.5480261753	-3.7379641142	0.0002142343	0.0010350703	-0.3373904815
HTRA1	-1.3852598519	5.6649156289	-3.7335264043	0.0002179083	0.0010481065	-0.4426811141
SELPLG	-1.5097550718	2.6911204314	-3.7311405594	0.000219908	0.0010559062	-0.2279931138
COL18A1	-1.2560457486	6.1607443906	-3.728622962	0.0002220369	0.0010646638	-0.4548582203
SEMA4F	1.0801999312	2.9811014353	3.7255800285	0.0002246359	0.0010749115	0.0025994412
HIST1H1C	1.9160907027	4.910389384	3.7243727112	0.0002256751	0.0010787747	-0.1880681048
TMEM56	-1.360091087	2.071415066	-3.7236210492	0.0002263243	0.001081508	-0.2342775012
KRT19	2.1975388238	10.1969088899	3.7232358484	0.0002266577	0.0010827306	-0.4037520003
ATP10A	-1.43084227	1.2489675257	-3.7228717302	0.0002269733	0.0010832887	0.023780696
HDAC9	-1.5304895871	1.0474256908	-3.7228325183	0.0002270073	0.0010832887	-0.0387871614
CPNE8	-1.5142473077	1.7991339214	-3.7217196725	0.0002279745	0.0010867898	-0.1091769146
RND2	-1.4529296797	0.0766010139	-3.7189779299	0.0002303739	0.0010971046	0.08283887
NUP62CL	1.8422666751	0.0972078232	3.7185598819	0.0002307418	0.0010981078	0.2898238287
ATP8A1	-1.2446215186	1.7261509965	-3.7174484905	0.0002317227	0.0011024001	-0.1691052371
PALD1	-1.0537273955	2.328069689	-3.7168340961	0.0002322666	0.0011046114	-0.1894952565
CDKN1A	-1.2545267471	7.0802261673	-3.7152422523	0.0002336815	0.0011107528	-0.4495125484
SORBS3	-1.0501008132	5.2010778562	-3.7151666275	0.0002337489	0.0011107528	-0.506977535
KDF1	2.6824512004	3.8692444509	3.7144104189	0.0002344241	0.0011129764	0.0385468364
CTC-479C5.12	1.0571510117	1.0984616927	3.7129596357	0.0002357245	0.0011183899	0.1598047171
RTN4R	1.9819492201	1.6292316056	3.7125379623	0.0002361038	0.0011198087	0.2030286677
CNN3	-1.0350610328	6.2231803716	-3.7121574673	0.0002364465	0.0011206728	-0.5154095346
SCX	1.6654693131	0.6477465432	3.7115024691	0.0002370375	0.001122712	0.2266772428
FXYD3	2.3457836037	7.9019775905	3.7099489707	0.0002384449	0.0011282298	-0.5207393541
STEAP3	1.2335077144	5.1991562733	3.7098365869	0.000238547	0.0011283307	-0.4130411499
GRB7	2.3677681913	5.1551227144	3.7095401778	0.0002388166	0.0011292018	-0.1863463245
AHSA2	1.0730030742	4.7995047608	3.7087197723	0.0002395641	0.001131608	-0.3891704761
PRKCZ	1.2524784925	3.9109457843	3.707398423	0.0002407727	0.0011365479	-0.1945131665
ALOX5AP	-1.6448808191	2.086342243	-3.7071213829	0.0002410268	0.0011373629	-0.2215336304
CELSR3	2.514589398	3.3252689728	3.7069844646	0.0002411525	0.0011375716	0.045828996
CCDC102B	-1.0042635138	1.0840008866	-3.7053841336	0.0002426261	0.0011441365	-0.0096649595
STRIP2	1.8925634503	1.3679694551	3.7013353989	0.0002463922	0.001161112	0.1837143178
PPP2R2B	-1.718986313	1.4214148684	-3.6991540851	0.0002484441	0.0011688088	-0.2961704263
ZNF468	1.0399468934	3.7480785317	3.6949667194	0.000252428	0.0011847762	-0.2560481116
FAXC	-1.5053301665	0.7528469981	-3.6861529415	0.000261011	0.0012181159	-0.0982580516
GLIS3	-1.3505142119	1.856318719	-3.683538293	0.0002636096	0.0012293857	-0.2122017139
LINC01355	1.3941115197	1.9744575538	3.6827026825	0.0002644452	0.001232048	-0.0130358778
GPC2	2.5337253192	0.8575352699	3.6742043574	0.0002730861	0.0012693411	0.1340181915
GLDN	-1.3321999744	0.6087354555	-3.6703666876	0.0002770746	0.0012848862	-0.1546886711
RP5-908M14.9	1.1999572174	0.5223532052	3.6696686167	0.000277806	0.0012874227	0.084707323
SPN	-1.4217780291	1.2477687527	-3.6618815058	0.0002860887	0.0013236104	-0.2652489937
FANCF	1.0021230776	3.3940865577	3.6595996411	0.0002885594	0.0013341574	-0.3289211174
BTNL9	-1.6750483393	0.7632869151	-3.6569847069	0.0002914155	0.0013464708	-0.2784001313
AVPI1	-1.0733223522	3.9047265102	-3.6531070465	0.0002956997	0.0013631084	-0.6763320196
TLCD1	1.5993273238	3.5010611694	3.6522229923	0.0002966847	0.0013671976	-0.2445934563
RMI1	1.0029768813	3.0568934932	3.6507891808	0.0002982888	0.0013732411	-0.287233405
RP11-488L18.4	1.2092902509	3.1303489574	3.6487455774	0.0003005892	0.001382453	-0.3060360779
HSBP1L1	1.103974062	3.3261111305	3.6484529446	0.00030092	0.0013830632	-0.3365919225
HIST1H2BJ	2.2113308545	0.753071945	3.6456236622	0.0003041357	0.0013969232	0.0401062635
EFNA3	1.6130919303	1.511003583	3.6444721714	0.0003054537	0.0014006731	-0.0441445266
LINC01232	1.490727085	1.9558881415	3.6441492958	0.0003058242	0.0014019117	-0.1187955323
CCDC8	-1.8323835561	1.2096143069	-3.6425632585	0.0003076504	0.0014098204	-0.316848048
IL1R1	-1.1343616331	5.1768916431	-3.6403166638	0.0003102548	0.0014212886	-0.7711928902
GJB7	3.1603162309	-0.4005105123	3.6384965112	0.00031238	0.0014296171	0.0232989238
TMEM47	-1.5025755424	4.2096983999	-3.6373351241	0.0003137432	0.0014344452	-0.7583898328
CBX6	-1.1120449818	4.9613839581	-3.6313581546	0.0003208475	0.0014626161	-0.8059245578
SPAG4	1.9333945324	3.3724262283	3.6299906654	0.000322494	0.0014691627	-0.2971856875
TPD52L1	-1.5033483191	3.8354783288	-3.6291408489	0.0003235212	0.0014733616	-0.7519102367
CTD-3157E16.1	-1.1290871355	-0.0136040376	-3.6287150222	0.0003240371	0.0014742685	-0.1999630475
DKK1	-2.2063843753	2.4417428045	-3.6284627265	0.0003243431	0.0014751801	-0.6785633397
SHROOM3	-1.3431087941	3.4592997869	-3.6279953468	0.0003249107	0.0014772805	-0.7294123699
RP11-174G6.5	1.4717151888	1.1503841652	3.626135912	0.0003271782	0.0014871057	-0.1198009321
RP11-303E16.2	1.0049863661	2.1282323053	3.6229801845	0.0003310604	0.0015027834	-0.254041403
NID1	-1.2308015789	5.3239426942	-3.6223574146	0.0003318317	0.0015053169	-0.8359739377
PRIM1	1.0723439841	2.633701201	3.6167914998	0.0003387999	0.0015329431	-0.3237813241
SIM2	2.1405420342	2.6796846787	3.6153523564	0.0003406238	0.0015401256	-0.2667799017
SH3BP1	1.124599061	5.6775435457	3.6118424505	0.000345111	0.0015579648	-0.8249973828
C1orf112	1.1970001723	2.9302577859	3.6076744449	0.0003505116	0.0015803015	-0.3762009741
SOD2	-1.274993536	7.2601883789	-3.6071814444	0.0003511556	0.0015826941	-0.8338545159
STAB1	-1.3391699872	4.8875094957	-3.6030484258	0.0003565986	0.0016044561	-0.8941083225
RP11-1149O23.3	1.0845140087	0.7523393494	3.6007232795	0.0003596954	0.0016170079	-0.1720623004
MS4A4A	-1.6800983568	1.6831900297	-3.6002966037	0.0003602664	0.0016190536	-0.5070571848
PILRB	1.6093793807	1.8425569117	3.5979117027	0.0003634738	0.001631892	-0.2673992761
UST	-1.1181143424	2.8595748038	-3.5969684486	0.0003647497	0.0016365681	-0.800118523
GPR34	-1.4834699875	0.1545109531	-3.5966965116	0.0003651183	0.0016375979	-0.3109957565
C1QTNF6	1.8545850079	4.6685183216	3.5955693481	0.00036665	0.0016424555	-0.5598020029
PXDN	-1.4435330921	4.8637067696	-3.5920558732	0.0003714631	0.0016613516	-0.9220499054
P2RX7	-1.3577771097	0.3232868525	-3.5908651807	0.0003731077	0.0016660386	-0.3531045763
LY96	-1.4269768118	0.7646415635	-3.5897427368	0.0003746642	0.0016723731	-0.3961149708
ZFP69B	1.0517869026	0.484205289	3.5875829184	0.0003776765	0.0016842853	-0.1979029002
SMARCA1	-1.0238717832	4.8850344485	-3.5861496692	0.000379688	0.0016921747	-0.9543901736
PRSS23	-1.2568395879	5.8421072024	-3.5851257125	0.0003811312	0.0016969818	-0.9616941643
SLC2A13	-1.0162521936	1.5071738817	-3.5843753611	0.000382192	0.0017006206	-0.5434214246
TFR2	2.1715423542	1.033129292	3.5789165803	0.0003899934	0.0017320223	-0.2142504197
SYTL1	1.6489127407	5.7575874883	3.5760443562	0.000394158	0.0017477384	-0.9080574092
SLC30A4	-1.155785464	1.6021576445	-3.5759089367	0.0003943554	0.0017480585	-0.5491905414
TCONS_00029157	-1.1629152287	0.2433689604	-3.5713608659	0.0004010384	0.0017743027	-0.4208559664
NLRC3	-1.0652623277	0.8860751295	-3.5668475688	0.0004077752	0.0018012545	-0.5186134194
LTBP1	-1.1669568202	5.6676460211	-3.5662829285	0.0004086255	0.001803505	-1.0311033919
RP11-532F12.5	2.0785087695	2.8658602569	3.564949732	0.0004106396	0.0018098993	-0.4198763871
MAL2	2.0873563608	6.6873565261	3.5644271469	0.0004114317	0.0018128181	-0.9849502648
SMC4	1.2262636426	4.8038952433	3.5617163639	0.0004155632	0.001828714	-0.8718529072
PPFIA4	2.0990655403	0.4829203676	3.5585119018	0.0004204974	0.0018475159	-0.2568113961
SCD	1.4015967086	7.4524204848	3.5569924724	0.0004228562	0.0018561272	-1.0622269608
ESRP2	2.1355753809	5.507864953	3.5558213823	0.0004246826	0.001862973	-0.8360108929
SAMD10	1.4305159644	3.2807761263	3.5536071867	0.0004281561	0.0018740889	-0.6273272742
SREBF1	1.0044189517	6.7239734672	3.552555623	0.000429815	0.0018803055	-1.0777083698
MARVELD3	2.0401304633	3.4422486283	3.5515546573	0.0004313998	0.0018853317	-0.5340399094
RP11-308D16.2	1.0431225855	0.5535615628	3.5504678509	0.0004331266	0.0018911027	-0.3407108921
EMC3-AS1	1.2873957086	1.210037275	3.5489475715	0.000435553	0.0019011024	-0.3849271836
RGS4	-1.7632078448	0.5872135536	-3.5483716954	0.0004364754	0.0019039384	-0.513490666
FOXD2-AS1	1.5260535917	1.1016322736	3.5454689128	0.0004411531	0.001921941	-0.344053457
COL24A1	-1.1852319477	0.1071930333	-3.5415997366	0.0004474611	0.0019469927	-0.4912376624
GPC3	-1.5051543586	1.6805907545	-3.5406810813	0.0004489712	0.0019523465	-0.8508452229
PIK3R5	-1.3260490771	1.286875039	-3.5361876349	0.0004564265	0.0019792183	-0.6738735765
FAM227A	1.6156867912	0.6569951961	3.5341179692	0.0004598992	0.0019918031	-0.3613001705
CTD-3184A7.4	1.0685306745	1.7785635422	3.5274830965	0.0004711997	0.002038216	-0.5353256352
AK4	-1.6642542561	2.9976860342	-3.5264070194	0.0004730568	0.0020456153	-1.0625552867
ZNF738	1.4653561385	2.6317166932	3.522450197	0.0004799446	0.0020677155	-0.6315391454
ADAT3	1.0903119471	1.0738941061	3.522153058	0.0004804656	0.0020693217	-0.4764286145
GATM	-1.7454352786	3.2329534869	-3.5204424741	0.0004834753	0.0020811919	-1.0875652553
PITX1	-1.5177970337	4.3638704322	-3.5204172692	0.0004835198	0.0020811919	-1.1782646427
NUDT8	1.4041353361	2.7021103646	3.5175867821	0.0004885392	0.0020976237	-0.6473341941
TMEM106A	-1.2746778592	0.8767834314	-3.5173167248	0.0004890206	0.0020990454	-0.6602088208
RP11-295G20.2	1.238264859	1.8256747997	3.5166946697	0.0004901312	0.00210252	-0.5558318663
CSF1R	-1.6199733669	3.7473027893	-3.514971128	0.0004932209	0.0021138255	-1.1174785661
C1QTNF1	-1.4801132827	3.6181277371	-3.5147345729	0.0004936464	0.0021149998	-1.0962821748
FPR1	-1.9011174976	0.8499586312	-3.5118627776	0.0004988391	0.0021333203	-0.6745549406
UBE2E2	-1.3850954316	2.6241110338	-3.5105286119	0.0005012689	0.0021417435	-0.9670681798
SPINT2	1.0969864892	8.6125187154	3.5102092742	0.0005018521	0.0021431655	-1.1845973153
ETV4	2.4514441408	3.9304574831	3.5101783115	0.0005019087	0.0021431655	-0.7019005831
MAN1A1	-1.2110321218	5.0317718268	-3.5068740358	0.0005079815	0.0021671083	-1.2320351982
RP11-66N24.3	1.127491956	0.5327501324	3.5046921027	0.0005120292	0.0021817099	-0.49251259
NECTIN4	2.161015037	6.4135710421	3.504594106	0.0005122117	0.0021818217	-1.1391847444
TCF19	1.285543294	4.5648563783	3.5040464471	0.0005132327	0.0021855042	-0.9933327997
FZD8	-1.1700163386	0.9192050396	-3.5036582013	0.0005139577	0.0021879241	-0.7013895978
EIF5A2	-1.3767684274	1.5139939511	-3.5013381385	0.00051831	0.0022037644	-0.8174449633
BHLHE40	-1.1633773284	7.3592384324	-3.5011789322	0.0005186099	0.0022043684	-1.2055080634
HSD17B7P2	1.3430632888	0.3252257525	3.5007804579	0.0005193613	0.002206219	-0.4674899426
HIST1H2AE	2.256805982	0.024845941	3.5003893477	0.0005200998	0.0022086841	-0.4372395087
CD5	-1.4729636487	0.7227561225	-3.4992644388	0.0005222293	0.0022163793	-0.7304444336
ZSCAN16	1.1969302385	2.0621458014	3.4958990921	0.0005286489	0.0022409001	-0.6781638262
KLF15	-1.4438088848	0.6940935876	-3.4944061093	0.0005315205	0.0022523886	-0.8610022522
SATB1	-1.1265451674	4.3881865016	-3.4934883483	0.0005332929	0.0022571593	-1.2680674058
CENPW	1.4181772903	3.3329787125	3.4928352374	0.0005345576	0.0022602424	-0.8072129454
HIST1H2BD	1.824232008	3.2317846448	3.4927423786	0.0005347376	0.0022602424	-0.713922048
TTC3P1	-1.2595243921	0.333154686	-3.491464837	0.0005372203	0.0022689678	-0.7105121917
FAM134B	-1.342560132	0.5689512949	-3.4910584428	0.0005380124	0.0022716258	-0.7584858338
FCHO1	1.9299828395	3.0392305291	3.4890232798	0.0005419952	0.0022870591	-0.7290386849
RASSF8-AS1	-1.1232154859	0.0675106054	-3.4888922249	0.0005422526	0.002287454	-0.6502873464
DYNC1I1	-1.5558668873	1.2311381505	-3.4875983148	0.0005448002	0.0022954271	-0.9250852649
SRD5A1	1.2267256252	3.7340853406	3.4851403107	0.0005496708	0.0023138537	-0.9450464539
CRMP1	-1.1394466867	1.9232436773	-3.4841340337	0.0005516764	0.0023201982	-0.9555913786
ID2	-1.1396049328	4.4618606015	-3.4823547359	0.0005552396	0.002333778	-1.313350938
BEND6	-1.3287520202	0.6381964551	-3.4810632184	0.0005578394	0.00234259	-0.7233045021
LINC00894	1.3313996051	0.3100966946	3.4805748762	0.0005588254	0.002346025	-0.5473196745
SIX1	1.8409683058	2.2740357645	3.4796604628	0.000560676	0.0023530868	-0.6857385699
ZNF432	1.341301532	3.45725373	3.4790907758	0.0005618319	0.0023572293	-0.9729398301
RP11-458F8.4	1.175346294	2.723475895	3.4783172653	0.0005634049	0.0023631188	-0.8368827659
MREG	1.117754254	3.5385402638	3.4763392554	0.000567446	0.0023786397	-0.9367196868
WDR54	1.0569568387	3.6990305073	3.4735866876	0.0005731147	0.0023962277	-0.9914746964
C14orf37	-1.2009556297	0.7288621393	-3.4730903268	0.0005741425	0.002397184	-0.7700460539
CLDN7	1.5946766852	6.1687061459	3.4730331551	0.000574261	0.002397184	-1.2673544728
PHLDA1	-1.4271054408	5.9305222528	-3.4727557844	0.0005748363	0.0023988161	-1.3353726565
CBX2	2.4125265923	3.2394726504	3.4710034843	0.0005784827	0.0024125909	-0.7325357732
ZNF107	1.1523699158	3.1899385788	3.4677524836	0.0005853052	0.0024366778	-0.929133862
WASF3	-1.148927517	1.6390016005	-3.4622932254	0.0005969314	0.0024754838	-1.0058499013
IRF9	1.0591829502	2.1753407002	3.4604000471	0.0006010134	0.002489454	-0.8409947466
HENMT1	1.0483187502	3.508094915	3.4599652469	0.0006019545	0.0024918467	-0.9922049251
KHDRBS3	-1.3843284507	1.2952268584	-3.4581355178	0.0006059302	0.0025046192	-0.9585896139
ZNF462	-1.1281052746	3.0680715637	-3.4554292824	0.0006118554	0.0025276145	-1.239499073
TNNI1	1.9124411568	0.4557194254	3.4553411586	0.0006120492	0.0025276675	-0.6028098746
HOXC13	3.1923910079	0.0406462546	3.4518197809	0.0006198425	0.0025560724	-0.6007647939
LINC01481	1.0549303377	0.6144975516	3.451406701	0.0006207628	0.0025591115	-0.6722489225
CDC42BPG	1.6081316915	5.0900194312	3.4507748241	0.0006221729	0.0025641678	-1.2015305839
PCAT6	1.5041251591	1.8372520694	3.4504984	0.0006227908	0.0025659567	-0.7438040054
ZNF223	1.0538831524	0.0954470484	3.4498870101	0.0006241593	0.0025688197	-0.6552330835
CAMSAP3	2.3383613142	4.3455509275	3.448820516	0.0006265533	0.0025761377	-0.9792717841
BRICD5	1.2282841979	1.4024899521	3.4473884285	0.0006297814	0.0025886483	-0.7499585441
IZUMO4	1.2166736695	0.7204206588	3.4454576965	0.0006341582	0.0026043384	-0.7090459064
PRRG2	1.6479329907	3.0907971687	3.4443978332	0.0006365728	0.0026125429	-0.9094538333
FAM198A	-1.588658966	0.5269139989	-3.4443345469	0.0006367173	0.0026125429	-0.8937069871
KRT17	2.6229565251	9.0149812461	3.4434351267	0.0006387736	0.0026202101	-1.4207429246
MS4A6A	-1.496395345	3.2294159963	-3.4424525169	0.0006410271	0.0026280326	-1.2886493723
RHPN1	2.2354222185	4.1259058866	3.4424395162	0.000641057	0.0026280326	-1.0064656531
ALDH1L2	-1.6777691346	1.2254205661	-3.4409983717	0.0006443758	0.0026400877	-0.9366760534
RP11-12G12.7	1.0149087779	2.3172521218	3.4380336356	0.0006512537	0.0026635779	-0.9141152516
SFRP4	-3.4573718863	2.2082775251	-3.4343869246	0.0006598077	0.0026961941	-1.1151070584
DBNDD2	-1.026184118	0.8507505084	-3.431410014	0.0006668683	0.0027234517	-0.9716776007
TMEM176A	-1.4562411065	3.5511220297	-3.4299742469	0.0006702987	0.0027358611	-1.3638465896
ABLIM3	-1.2968754355	3.9958190625	-3.4286424097	0.0006734956	0.0027465008	-1.4581222622
TMEM176B	-1.4969577619	4.3501536003	-3.4236105608	0.0006857026	0.0027905757	-1.4734844213
RIPPLY3	2.5953506154	1.1012325313	3.4226098864	0.0006881547	0.0027976293	-0.7088897589
OSMR	-1.5505913412	4.4321705098	-3.4204712238	0.0006934227	0.0028153321	-1.4913841338
RAB25	2.2408008948	6.2111103207	3.4202818121	0.0006938911	0.0028156936	-1.3756768821
TCEA3	-1.2988921208	3.8202147065	-3.4120388509	0.0007145627	0.0028894987	-1.4961271161
BTBD19	-1.0687942578	1.0980060604	-3.4066556174	0.0007283713	0.0029427801	-1.0372135732
LHX6	-1.0323689747	0.5623632549	-3.4023006038	0.000739724	0.0029843301	-0.9930073871
